Time stamp: 09/13/2011 19:12:07
Program name: C:\CCStudio_v3.3\MyProjects\rnlms\Release\rnlms.out


Tab name: Profiler
Address Range, Symbol Name, SLR, Symbol Type, Access Count, Cycles: Incl. Total, Cycles: Excl. Total, Branches: Incl. Total, Branches: Excl. Total, 
0:0x82e0-0x8434, write <TI Library>, 275-293:lowlev.c, function, 0, 0, 0, 0, 0, 
0:0xa420-0xa4d8, writemsg <TI Library>, 55-98:trgmsg.c, function, 0, 0, 0, 0, 0, 
0:0x1ea8-0x1efc, CB_init, 96-99:CircularBuffer.c, loop, 0, 0, 0, 0, 0, 
0:0x80b8-0x80c8, HOSTopen <TI Library>, 109-109:string.h, loop, 0, 0, 0, 0, 0, 
0:0x67cc-0x67e0, HOSTrename <TI Library>, 109-109:string.h, loop, 0, 0, 0, 0, 0, 
0:0x687c-0x688c, HOSTrename <TI Library>, 109-109:string.h, loop, 0, 0, 0, 0, 0, 
0:0x6840-0x685c, HOSTrename <TI Library>, 120-120:string.h, loop, 0, 0, 0, 0, 0, 
0:0x6790-0x67ac, HOSTrename <TI Library>, 120-120:string.h, loop, 0, 0, 0, 0, 0, 
0:0x90fc-0x910c, HOSTunlink <TI Library>, 109-109:string.h, loop, 0, 0, 0, 0, 0, 
0:0xac5c-0xac64, _abort_msg <TI Library>, 35-36:assert.c, loop, 0, 0, 0, 0, 0, 
0:0x8a34-0x8a54, _auto_init <TI Library>, 40-41:autoinit.c, loop, 0, 0, 0, 0, 0, 
0:0x7510-0x7584, _buff_read <TI Library>, 46-48:_bufread.c, loop, 0, 0, 0, 0, 0, 
0:0x9ae4-0x9b44, _cleanup <TI Library>, 205-206:fopen.c, loop, 0, 0, 0, 0, 0, 
0:0x5f90-0x5fd0, _divul <TI Library>, 37-94:imath40.c, loop, 0, 0, 0, 0, 0, 
0:0x4ee0-0x4f24, _divull <TI Library>, 94-97:imath64.c, loop, 0, 0, 0, 0, 0, 
0:0x324c-0x3260, _fcpy <TI Library>, 109-109:string.h, loop, 0, 0, 0, 0, 0, 
0:0x3330-0x3340, _fcpy <TI Library>, 109-109:string.h, loop, 0, 0, 0, 0, 0, 
0:0x337c-0x338c, _fcpy <TI Library>, 109-109:string.h, loop, 0, 0, 0, 0, 0, 
0:0x340c-0x3440, _fcpy <TI Library>, 778-778:_printfi.c, loop, 0, 0, 0, 0, 0, 
0:0x34b0-0x34e0, _fcpy <TI Library>, 780-780:_printfi.c, loop, 0, 0, 0, 0, 0, 
0:0x3584-0x3594, _fcpy <TI Library>, 109-109:string.h, loop, 0, 0, 0, 0, 0, 
0:0x35c0-0x35e4, _fcpy <TI Library>, 791-791:_printfi.c, loop, 0, 0, 0, 0, 0, 
0:0x3624-0x3644, _fcpy <TI Library>, 793-793:_printfi.c, loop, 0, 0, 0, 0, 0, 
0:0x3518-0x353c, _fcpy <TI Library>, 780-780:_printfi.c, loop, 0, 0, 0, 0, 0, 
0:0x32a0-0x3310, _fcpy <TI Library>, 765-771:_printfi.c, loop, 0, 0, 0, 0, 0, 
0:0x32b8-0x32c8, _fcpy <TI Library>, 109-109:string.h, loop, 0, 0, 0, 0, 0, 
0:0x5114-0x5250, _frcdivd <TI Library>, 70-101:frcdivd.c, loop, 0, 0, 0, 0, 0, 
0:0x9d14-0x9d60, _frcdivf <TI Library>, 47-54:frcdivf.c, loop, 0, 0, 0, 0, 0, 
0:0x70c8-0x70e0, _ltostr <TI Library>, 109-109:string.h, loop, 0, 0, 0, 0, 0, 
0:0x7000-0x70ac, _ltostr <TI Library>, 1064-1073:_printfi.c, loop, 0, 0, 0, 0, 0, 
0:0x6bb0-0x6bc0, _mcpy <TI Library>, 109-109:string.h, loop, 0, 0, 0, 0, 0, 
0:0x6c60-0x6cb0, _mcpy <TI Library>, 106-110:string.h, loop, 0, 0, 0, 0, 0, 
0:0x6c84-0x6c94, _mcpy <TI Library>, 109-109:string.h, loop, 0, 0, 0, 0, 0, 
0:0x6cfc-0x6d20, _mcpy <TI Library>, 844-844:_printfi.c, loop, 0, 0, 0, 0, 0, 
0:0x6c2c-0x6c40, _mcpy <TI Library>, 109-109:string.h, loop, 0, 0, 0, 0, 0, 
0:0x3b4c-0x3b90, _pconv_e <TI Library>, 668-668:_printfi.c, loop, 0, 0, 0, 0, 0, 
0:0x3ce4-0x3cf4, _pconv_e <TI Library>, 109-109:string.h, loop, 0, 0, 0, 0, 0, 
0:0x3d74-0x3d84, _pconv_e <TI Library>, 109-109:string.h, loop, 0, 0, 0, 0, 0, 
0:0x3c80-0x3c9c, _pconv_e <TI Library>, 120-120:string.h, loop, 0, 0, 0, 0, 0, 
0:0x3bdc-0x3c20, _pconv_e <TI Library>, 669-669:_printfi.c, loop, 0, 0, 0, 0, 0, 
0:0x8b18-0x8b34, _pconv_f <TI Library>, 120-120:string.h, loop, 0, 0, 0, 0, 0, 
